Age group,Important Factor,Budget,Preferred Brand
48–57,Brand,$1000–$1500,Samsung
28–37,Portability,<$500,Lenovo
28–37,Design,<$500,Dell
48–57,Portability,$500–$1000,Apple
38–47,Battery Life,<$500,Lenovo
18_27,Design,$1000–$1500,ASUS
28–37,Design,<$500,HP
28–37,Performance,$500–$1000,ASUS
48–57,Performance,$1500+,HP
18_27,Performance,$1500+,Acer
28–37,Portability,$1000–$1500,HP
38–47,Design,$500–$1000,Dell
48–57,Battery Life,$1500+,Samsung
28–37,Battery Life,$1500+,Acer
38–47,Brand,<$500,Lenovo
28–37,Price,$1500+,HP
18_27,Battery Life,$1000–$1500,Dell
48–57,Performance,$1500+,ASUS
18_27,Brand,$1000–$1500,Samsung
48–57,Performance,$1000–$1500,Acer
28–37,Design,<$500,Samsung
28–37,Design,$500–$1000,Acer
48–57,Portability,$1000–$1500,Dell
38–47,Performance,$1500+,ASUS
18_27,Battery Life,$1500+,Acer
28–37,Price,$1000–$1500,Lenovo
28–37,Performance,$1500+,Samsung
48–57,Battery Life,<$500,HP
18_27,Brand,$1500+,Samsung
28–37,Performance,<$500,Samsung
38–47,Brand,$1000–$1500,Apple
48–57,Battery Life,$1000–$1500,ASUS
28–37,Battery Life,$1000–$1500,Samsung
38–47,Battery Life,<$500,HP
28–37,Battery Life,$1500+,Apple
18_27,Design,<$500,Acer
48–57,Portability,$1500+,Apple
18_27,Battery Life,$1500+,ASUS
48–57,Design,<$500,HP
28–37,Price,$500–$1000,Acer
28–37,Design,$1000–$1500,Samsung
48–57,Brand,$1500+,Acer
38–47,Price,$1500+,Samsung
18_27,Brand,<$500,Acer
28–37,Portability,$500–$1000,Acer
28–37,Performance,$1000–$1500,Samsung
48–57,Performance,$500–$1000,Apple
18_27,Design,$1000–$1500,Acer
28–37,Brand,$1500+,Dell
38–47,Portability,$1500+,Acer
48–57,Performance,<$500,Acer
28–37,Portability,<$500,Dell
38–47,Portability,$500–$1000,HP
28–37,Performance,$500–$1000,Samsung
18_27,Performance,$1000–$1500,Lenovo
48–57,Price,<$500,Dell
18_27,Price,$1500+,ASUS
48–57,Battery Life,<$500,HP
28–37,Brand,$500–$1000,Acer
28–37,Performance,<$500,Apple
48–57,Portability,$1500+,Dell
38–47,Brand,<$500,HP
18_27,Battery Life,$500–$1000,HP
28–37,Portability,$1500+,Acer
28–37,Design,$1000–$1500,Lenovo
48–57,Battery Life,$1000–$1500,Apple
18_27,Performance,$1500+,Apple
28–37,Design,$1500+,Apple
38–47,Design,$1500+,Samsung
48–57,Battery Life,$500–$1000,ASUS
28–37,Performance,$1500+,HP
38–47,Portability,$500–$1000,ASUS
28–37,Design,$1500+,ASUS
18_27,Battery Life,$500–$1000,HP
48–57,Battery Life,$500–$1000,Samsung
18_27,Portability,<$500,Apple
48–57,Performance,$1000–$1500,HP
28–37,Battery Life,$1500+,Samsung
28–37,Battery Life,$1000–$1500,Lenovo
48–57,Battery Life,$1000–$1500,Samsung
38–47,Brand,<$500,HP
18_27,Price,$1000–$1500,Acer
28–37,Portability,$1000–$1500,Samsung
28–37,Brand,$1500+,HP
48–57,Battery Life,$500–$1000,Samsung
18_27,Price,$1500+,Dell
28–37,Portability,$1500+,Lenovo
38–47,Design,$1000–$1500,Dell
48–57,Portability,$1000–$1500,Apple
28–37,Brand,$1500+,Samsung
38–47,Brand,$1500+,Apple
28–37,Brand,$1000–$1500,Samsung
18_27,Portability,$500–$1000,Acer
48–57,Performance,$500–$1000,Acer
18_27,Battery Life,$1500+,Acer
48–57,Portability,$500–$1000,Lenovo
28–37,Design,$1500+,Samsung
28–37,Design,<$500,Samsung
48–57,Design,$1000–$1500,ASUS
38–47,Battery Life,$1500+,HP
18_27,Price,$1500+,Dell
28–37,Brand,$1500+,Samsung
28–37,Battery Life,$500–$1000,Lenovo
58+,Brand,$1500+,Dell
18_27,Battery Life,<$500,HP
28–37,Brand,$500–$1000,ASUS
38–47,Battery Life,$1000–$1500,Dell
58+,Price,<$500,Lenovo
28–37,Portability,$1500+,HP
38–47,Design,<$500,Acer
28–37,Brand,$1500+,Acer
18_27,Battery Life,<$500,Acer
58+,Price,$500–$1000,HP
18_27,Price,$1500+,ASUS
58+,Design,$500–$1000,Lenovo
28–37,Battery Life,<$500,Samsung
28–37,Portability,$1500+,Acer
58+,Brand,$1000–$1500,HP
38–47,Portability,$1000–$1500,Dell
18_27,Performance,$1500+,Acer
28–37,Price,<$500,Apple
28–37,Price,$1000–$1500,Lenovo
58+,Design,$1500+,Dell
18_27,Battery Life,$1000–$1500,ASUS
28–37,Performance,$1500+,ASUS
38–47,Performance,<$500,HP
58+,Performance,<$500,ASUS
28–37,Battery Life,$500–$1000,Apple
38–47,Brand,$1000–$1500,Acer
28–37,Price,$500–$1000,Dell
